cow_id,distance_to_leopard,distance_to_forest,time_of_day,risk_level
COW002,174.17,491.28,1,1
COW006,9.28,236.8,0,1
COW006,330.87,59.64,0,0
COW010,541.87,597.42,2,0
COW002,406.99,88.1,0,0
COW008,862.43,453.97,0,0
COW008,333.15,755.05,2,0
COW005,372.34,47.74,1,0
COW009,426.65,180.0,3,1
COW001,193.92,603.33,3,2
COW009,916.37,783.66,2,0
COW006,921.41,475.71,2,0
COW006,809.52,961.24,2,0
COW010,498.49,561.26,3,0
COW001,331.03,693.69,0,0
COW008,600.48,859.24,1,0
COW001,893.08,835.94,2,0
COW006,439.55,930.73,3,0
COW010,429.04,347.59,3,0
COW001,13.9,989.42,2,2
COW001,184.98,548.29,1,1
COW010,437.41,40.48,2,0
COW001,744.52,97.61,1,0
COW002,727.81,618.31,0,0
COW003,323.36,799.98,3,0
COW007,36.87,240.0,1,1
COW003,729.52,808.16,0,0
COW007,122.68,830.22,3,2
COW004,244.84,505.09,0,1
COW005,194.02,933.47,1,1
COW004,768.55,166.87,2,0
COW005,956.6,356.01,2,0
COW010,568.43,27.34,1,0
COW004,409.88,690.78,0,0
COW005,997.53,255.93,3,0
COW006,122.74,945.46,0,1
COW003,638.19,548.48,1,0
COW003,790.8,54.53,0,0
COW007,188.65,927.33,2,2
COW003,132.95,466.7,3,2
COW007,930.77,877.27,2,0
COW002,956.49,923.87,1,0
COW008,750.33,253.97,3,0
COW005,556.12,81.43,2,0
COW004,71.25,487.55,2,2
COW004,526.34,348.26,0,0
COW009,598.44,249.79,2,0
COW004,989.26,567.82,3,0
COW003,936.06,957.58,1,0
COW004,934.15,178.3,3,1
COW003,634.13,312.85,2,0
COW010,460.11,211.92,0,0
COW003,418.58,286.99,3,0
COW004,359.58,860.78,1,0
COW009,873.82,810.18,1,0
COW005,695.32,102.44,1,0
COW009,365.78,610.33,0,0
COW002,911.85,436.51,2,0
COW006,722.32,561.59,3,0
COW003,219.24,464.26,2,2
COW008,281.12,753.93,0,1
COW010,37.75,961.06,2,2
COW006,530.73,996.74,3,0
COW001,254.89,703.17,0,1
COW008,314.06,665.45,2,0
COW001,451.25,70.6,1,0
COW002,817.64,237.11,0,0
COW005,748.58,435.41,0,0
COW007,498.89,178.05,3,1
COW003,905.59,475.77,1,0
COW002,121.33,953.85,3,2
COW006,852.19,141.75,0,0
COW008,443.87,887.32,3,0
COW004,767.21,211.96,2,0
COW009,130.09,965.7,2,2
COW002,88.6,86.39,1,1
COW007,259.83,401.05,2,2
COW003,77.51,635.88,3,2
COW003,824.08,425.95,2,0
COW006,207.73,740.38,0,1
COW005,834.09,468.32,0,0
COW002,0.37,49.17,0,1
COW008,364.27,447.93,0,0
COW009,10.76,360.06,2,2
COW008,911.79,301.01,2,0
COW006,928.66,3.23,3,1
COW006,462.27,359.63,3,0
COW003,993.08,432.56,0,0
COW006,784.51,420.37,3,0
COW006,744.25,406.55,2,0
COW005,652.27,337.32,1,0
COW003,727.6,470.21,0,0
COW003,763.01,608.74,3,0
COW006,703.56,730.66,0,0
COW001,103.79,258.65,2,2
COW007,820.36,499.0,0,0
COW005,559.42,60.37,2,0
COW003,91.5,207.49,0,1
COW001,801.05,723.81,1,0
COW006,936.76,57.77,3,1
COW010,656.8,591.34,0,0
COW009,867.28,328.78,3,0
COW003,810.85,987.6,0,0
COW006,257.59,479.75,2,2
COW010,920.96,57.24,0,0
COW003,692.55,172.72,3,1
COW001,837.99,969.84,0,0
COW004,877.63,302.96,3,0
COW009,918.64,77.41,0,0
COW004,551.89,570.66,0,0
COW009,307.21,442.12,2,0
COW008,601.25,132.69,1,0
COW001,382.09,455.65,0,0
COW004,81.44,930.35,1,1
COW010,22.97,836.97,0,1
COW005,25.8,911.2,1,1
COW006,713.49,9.38,3,1
COW004,321.58,458.97,1,0
COW002,589.43,106.86,0,0
COW006,195.4,885.25,3,2
COW007,120.49,477.85,1,1
COW005,613.71,314.51,1,0
COW010,224.7,43.55,3,2
COW009,466.66,369.21,1,0
COW010,265.32,776.86,3,2
COW003,616.92,973.34,0,0
COW003,496.75,93.79,1,0
COW007,57.1,372.87,3,2
COW009,117.23,721.61,2,2
COW003,763.22,745.82,2,0
COW002,206.92,372.4,2,2
COW001,786.83,839.22,2,0
COW004,978.62,108.72,2,0
COW008,778.69,80.0,0,0
COW010,246.94,342.1,1,1
COW005,323.9,446.11,0,0
COW005,153.89,199.34,1,1
COW002,449.6,637.43,0,0
COW004,648.5,57.07,1,0
COW008,276.66,601.88,1,1
COW009,234.94,67.02,3,2
COW009,106.66,498.39,0,1
COW010,50.89,679.52,2,2
COW007,711.34,51.12,2,0
COW002,698.44,813.16,2,0
COW001,532.26,962.78,0,0
COW008,294.02,574.34,3,2
COW004,206.59,693.36,0,1
COW002,50.75,161.42,3,2
COW001,315.78,725.54,2,0
COW006,208.81,30.42,2,2
COW002,806.72,774.45,1,0
COW005,158.11,69.41,3,2
COW009,534.58,285.83,3,0
COW005,768.85,481.82,3,0
COW003,744.19,4.05,2,0
COW001,67.54,810.33,1,1
COW010,73.65,299.61,2,2
COW010,209.3,513.26,1,1
COW002,68.56,102.88,0,1
COW002,475.25,65.45,2,0
COW001,587.25,310.65,0,0
COW004,265.38,803.83,1,1
COW002,489.47,378.43,1,0
COW004,353.83,494.53,3,0
COW008,724.66,513.95,3,0
COW001,399.31,765.21,1,0
COW004,177.2,166.08,3,2
COW002,373.89,454.81,0,0
COW009,27.83,870.44,2,2
COW003,970.87,765.92,1,0
COW006,367.21,910.25,0,0
COW004,795.79,285.85,0,0
COW006,458.73,903.75,3,0
COW010,101.87,818.56,1,1
COW006,367.81,792.14,3,0
COW006,691.14,822.55,3,0
COW004,887.77,111.17,3,1
COW001,626.0,913.51,2,0
COW001,841.39,878.46,1,0
COW009,623.39,869.73,3,0
COW004,439.38,557.78,1,0
COW001,93.39,331.42,0,1
COW008,858.2,864.72,0,0
COW004,97.28,777.97,1,1
COW005,777.24,406.71,0,0
COW008,120.94,984.34,2,2
COW004,234.43,194.45,1,1
COW003,665.22,102.1,0,0
COW003,92.66,866.99,1,1
COW006,423.25,800.3,0,0
COW001,173.94,858.0,3,2
COW009,146.77,80.75,3,2
COW001,811.67,512.11,1,0
COW001,155.58,106.83,3,2
COW003,398.57,794.01,3,0
COW007,58.81,373.96,2,2
COW004,282.19,335.01,0,1
COW004,462.09,868.38,3,0
COW002,51.39,215.63,2,2
COW001,929.68,302.89,2,0
COW002,679.62,142.58,1,0
COW004,49.61,496.62,3,2
COW005,908.74,871.38,2,0
COW009,966.47,761.86,1,0
COW007,560.61,348.81,0,0
COW008,728.01,255.78,0,0
COW009,647.58,734.88,2,0
COW006,454.49,53.69,3,1
COW007,913.75,478.82,1,0
COW004,366.54,553.98,2,0
COW005,698.42,232.64,1,0
COW008,838.98,495.35,3,0
COW008,331.76,340.69,3,0
COW009,324.96,207.92,0,0
COW001,713.93,859.91,1,0
COW002,471.37,616.19,0,0
COW007,383.47,453.14,0,0
COW002,592.09,438.63,2,0
COW001,793.68,894.1,3,0
COW008,853.97,639.67,2,0
COW003,334.05,181.68,0,0
COW009,640.49,473.52,1,0
COW009,146.21,841.77,1,1
COW001,719.91,438.09,1,0
COW007,448.07,116.18,3,1
COW005,815.04,685.94,0,0
COW008,332.62,540.95,2,0
COW010,215.13,725.99,0,1
COW008,902.42,815.58,0,0
COW007,251.79,773.51,2,2
COW003,514.88,618.9,1,0
COW008,51.51,157.02,0,1
COW007,479.21,948.99,2,0
COW007,636.3,154.23,2,0
COW005,700.19,757.76,0,0
COW007,757.7,755.02,3,0
COW006,171.04,507.62,3,2
COW006,174.65,338.42,0,1
COW004,300.89,610.04,1,0
COW009,288.0,156.15,3,2
COW009,345.35,266.99,2,0
COW007,945.68,304.54,3,0
COW007,559.39,746.78,1,0
COW003,9.17,821.74,2,2
COW003,751.86,364.25,3,0
COW008,93.0,688.69,0,1
COW005,20.07,121.62,2,2
COW010,508.76,800.6,3,0
COW003,902.51,896.07,0,0
COW002,725.67,653.0,0,0
COW008,163.9,176.54,0,1
COW005,139.41,144.63,2,2
COW007,627.26,497.2,2,0
COW005,771.38,285.3,0,0
COW003,28.39,833.27,0,1
COW008,200.2,151.4,3,2
COW010,591.22,806.14,1,0
COW010,679.35,160.4,1,0
COW006,378.12,744.24,1,0
COW008,543.22,839.15,2,0
COW008,14.29,101.32,3,2
COW001,643.88,782.1,3,0
COW007,40.96,680.81,2,2
COW001,616.92,241.41,2,0
COW006,441.94,958.62,2,0
COW009,238.81,140.45,1,1
COW009,389.79,809.23,1,0
COW004,42.54,894.45,1,1
COW007,826.35,42.39,3,1
COW007,86.22,867.7,1,1
COW004,807.53,685.97,0,0
COW010,998.03,923.22,3,0
COW006,92.26,136.71,2,2
COW006,947.57,658.91,3,0
COW007,343.32,489.67,3,0
COW002,690.51,937.15,3,0
COW005,576.12,48.17,2,0
COW008,352.77,521.58,3,0
COW009,651.49,924.92,1,0
COW005,805.77,5.3,2,0
COW005,536.32,138.51,2,0
COW010,640.2,624.86,1,0
COW001,863.63,245.27,0,0
COW004,834.55,654.53,2,0
COW005,515.42,731.48,2,0
COW007,836.13,679.7,3,0
COW002,85.21,597.45,1,1
COW009,554.05,391.56,2,0
COW002,469.66,282.09,2,0
COW003,21.53,549.63,2,2
COW005,54.91,521.17,1,1
COW003,608.64,755.33,2,0
COW008,742.31,792.36,3,0
COW003,769.0,792.91,0,0
COW003,280.03,638.41,2,2
COW004,5.97,12.64,1,1
COW009,951.96,364.5,0,0
COW003,995.3,995.68,0,0
COW008,365.49,955.88,2,0
COW010,665.55,465.72,3,0
COW010,746.65,773.78,1,0
COW002,265.94,44.71,0,1
COW006,945.4,207.16,1,0
COW001,285.73,708.04,1,1
COW007,35.07,27.69,2,2
COW001,982.31,706.3,1,0
COW009,849.45,636.33,3,0
COW010,535.5,626.02,1,0
COW010,749.01,763.75,0,0
COW006,42.22,134.67,0,1
COW004,403.84,572.66,3,0
COW006,427.09,716.59,1,0
COW005,826.87,452.21,3,0
COW007,285.82,829.83,0,1
COW004,640.54,319.78,1,0
COW004,254.29,325.56,3,2
COW004,50.48,832.59,0,1
COW001,782.12,68.29,2,0
COW010,27.8,184.13,3,2
COW007,501.51,732.57,3,0
COW004,602.07,684.38,3,0
COW006,536.09,356.89,3,0
COW006,913.61,994.48,0,0
COW008,693.65,632.24,0,0
COW010,360.58,870.05,0,0
COW006,791.77,451.84,2,0
COW006,404.61,705.28,2,0
COW009,377.75,746.76,3,0
COW001,798.17,577.86,1,0
COW008,109.23,185.38,1,1
COW005,398.41,820.82,2,0
COW005,623.78,585.99,1,0
COW001,142.68,311.63,3,2
COW003,921.67,217.54,2,0
COW006,924.91,621.23,0,0
COW004,601.43,162.91,0,0
COW008,717.43,465.57,1,0
COW005,259.34,349.32,1,1
COW008,59.33,338.76,3,2
COW010,590.35,335.89,2,0
COW007,939.3,452.42,1,0
COW004,705.49,854.56,0,0
COW008,429.45,69.31,1,0
COW004,927.54,558.61,2,0
COW003,195.13,972.5,0,1
COW001,629.12,921.11,0,0
COW003,425.22,165.64,2,0
COW001,988.31,155.1,1,0
COW001,584.88,123.79,1,0
COW006,35.76,9.43,1,1
COW006,43.4,326.0,3,2
COW003,446.54,314.67,0,0
COW007,664.48,729.27,1,0
COW008,917.71,627.82,1,0
COW009,541.14,915.07,2,0
COW008,887.66,616.51,0,0
COW005,779.72,242.26,2,0
COW010,754.99,220.53,0,0
COW007,802.0,404.64,0,0
COW003,982.17,168.57,2,0
COW003,311.98,859.67,3,0
COW004,782.03,469.37,0,0
COW003,34.39,311.31,2,2
COW003,719.54,130.59,3,1
COW002,563.11,282.92,3,0
COW003,212.12,381.94,1,1
COW006,542.14,546.95,0,0
COW002,565.33,945.68,0,0
COW002,204.74,627.25,3,2
COW010,290.93,329.26,3,2
COW004,722.21,377.72,0,0
COW006,805.97,11.23,2,0
COW007,480.87,27.04,3,1
COW010,217.83,277.99,0,1
COW003,97.97,762.47,1,1
COW010,522.35,200.97,1,0
COW006,753.67,673.04,3,0
COW008,760.43,709.83,2,0
COW005,351.8,130.93,3,1
COW003,522.57,659.39,0,0
COW004,640.3,167.08,2,0
COW001,829.69,729.32,3,0
COW003,501.25,116.53,3,1
COW009,82.64,523.67,0,1
COW003,611.35,634.68,2,0
COW006,468.95,336.85,1,0
COW007,614.45,187.02,0,0
COW006,337.08,535.62,3,0
COW002,64.3,878.09,0,1
COW009,345.08,865.59,0,0
COW003,614.01,127.35,1,0
COW005,588.75,679.66,2,0
COW002,940.37,786.34,0,0
COW003,152.44,257.62,3,2
COW001,296.57,145.41,0,1
COW005,345.02,501.28,2,0
COW006,991.24,114.41,0,0
COW003,768.23,396.5,3,0
COW008,803.58,241.14,2,0
COW003,170.81,74.89,3,2
COW010,665.7,327.13,0,0
COW005,179.27,742.24,2,2
COW001,823.59,526.96,1,0
COW009,364.68,546.83,0,0
COW005,990.4,713.1,1,0
COW008,519.33,3.8,1,0
COW010,63.33,59.16,2,2
COW009,23.64,753.92,0,1
COW001,634.73,20.23,0,0
COW004,526.07,289.41,2,0
COW005,80.43,640.66,3,2
COW006,53.72,495.54,2,2
COW007,535.23,719.79,0,0
COW009,173.61,692.21,0,1
COW001,279.02,670.22,2,2
COW005,971.16,600.67,3,0
COW004,226.21,558.23,0,1
COW004,580.03,594.39,3,0
COW004,4.78,443.33,3,2
COW006,629.83,466.87,1,0
COW001,616.47,754.03,2,0
COW009,671.54,841.34,3,0
COW007,926.32,296.25,0,0
COW005,626.16,985.27,0,0
COW009,126.14,33.96,0,1
COW009,163.32,871.08,2,2
COW005,845.78,4.94,0,0
COW003,908.07,634.57,0,0
COW005,568.46,659.22,2,0
COW010,698.08,160.93,3,1
COW003,454.39,846.95,3,0
COW007,275.12,890.94,1,1
COW003,931.2,307.33,2,0
COW001,758.29,440.49,2,0
COW005,190.01,25.14,3,2
COW007,238.04,510.6,1,1
COW006,120.76,386.84,3,2
COW003,693.21,278.61,3,0
COW006,59.34,335.14,3,2
COW006,67.79,549.95,0,1
COW010,338.29,556.92,3,0
COW008,77.01,122.48,2,2
COW006,977.37,437.85,0,0
COW001,820.06,597.9,2,0
COW006,747.34,327.97,3,0
COW010,257.07,363.16,1,1
COW005,878.96,534.76,1,0
COW008,195.93,33.12,0,1
COW009,247.37,281.08,3,2
COW003,58.4,717.36,3,2
COW003,80.77,855.6,0,1
COW007,75.66,211.43,1,1
COW005,712.47,224.43,0,0
COW003,968.36,585.95,3,0
COW009,169.44,273.57,1,1
COW001,997.2,109.34,0,0
COW009,816.95,37.09,0,0
COW003,143.37,110.8,1,1
COW008,409.42,768.25,2,0
COW004,419.76,583.63,0,0
COW005,493.54,967.91,2,0
COW004,822.56,656.12,1,0
COW007,930.99,802.21,0,0
COW009,24.11,533.94,2,2
COW007,662.62,906.21,0,0
COW007,561.07,381.22,2,0
COW005,641.73,533.89,0,0
COW007,498.25,494.81,1,0
COW005,889.44,807.88,0,0
COW007,465.83,727.18,0,0
COW007,475.77,890.46,1,0
COW010,301.06,378.14,3,0
COW005,436.67,71.76,1,0
COW008,315.2,433.71,3,0
COW002,289.18,240.05,2,2
COW002,184.93,566.07,1,1
COW007,564.18,987.86,2,0
COW002,700.23,509.74,0,0
COW007,862.3,46.78,1,0
COW006,803.95,732.45,2,0
COW009,28.62,314.65,2,2
COW008,144.01,991.07,1,1
COW008,193.06,501.1,3,2
COW009,306.04,104.93,0,0
COW009,603.47,459.08,0,0
COW002,364.09,121.07,2,0
COW008,203.19,434.61,0,1
COW009,303.14,993.7,2,0
COW008,78.99,375.61,0,1
COW008,324.46,342.64,1,0
COW002,717.32,920.73,1,0
COW004,880.65,13.69,1,0
COW008,37.99,506.92,0,1
COW002,567.32,747.49,1,0
COW010,930.42,74.41,2,0
COW005,432.07,628.27,1,0
COW009,246.2,316.51,3,2
COW002,871.1,720.04,3,0
COW004,913.08,555.43,3,0
COW009,69.29,801.29,3,2
COW001,860.43,686.19,2,0
COW001,84.68,142.64,2,2
COW002,238.26,909.68,2,2
COW010,866.98,414.19,1,0
COW010,181.29,688.05,2,2
COW004,231.93,69.58,3,2
COW010,451.03,610.33,0,0
COW009,111.38,393.94,2,2
COW002,744.26,822.54,0,0
COW001,804.22,363.82,2,0
COW003,135.27,538.25,0,1
COW010,744.89,895.33,3,0
COW007,838.34,614.14,1,0
COW007,225.69,930.98,1,1
COW005,27.21,89.96,0,1
COW008,150.26,645.41,2,2
COW007,738.21,244.64,2,0
COW010,752.96,332.55,0,0
COW010,786.2,330.73,3,0
COW008,762.49,449.36,2,0
COW006,972.07,787.45,3,0
COW003,916.87,996.53,2,0
COW007,779.68,732.83,3,0
COW009,889.13,675.41,0,0
COW003,913.95,371.65,3,0
COW004,554.23,922.78,1,0
COW001,396.42,26.85,3,1
COW005,451.1,1.74,2,0
COW005,175.29,404.02,3,2
COW005,3.43,64.83,2,2
COW009,896.09,276.23,1,0
COW004,621.5,726.76,0,0
COW002,868.55,606.33,0,0
COW003,485.04,357.66,3,0
COW007,16.71,816.03,3,2
COW007,171.91,871.5,1,1
COW007,751.11,547.75,1,0
COW009,752.72,626.22,0,0
COW001,397.6,47.23,0,0
COW008,386.07,689.45,3,0
COW006,733.84,901.59,2,0
COW006,356.63,688.52,0,0
COW003,686.18,637.59,2,0
COW001,762.12,466.83,1,0
COW005,290.2,257.22,1,1
COW008,924.31,895.17,3,0
COW008,645.89,365.93,3,0
COW008,2.94,978.54,0,1
COW009,623.45,655.22,3,0
COW004,19.48,40.26,3,2
COW005,889.4,665.69,2,0
COW005,207.11,501.55,1,1
COW009,403.94,913.99,2,0
COW001,28.31,855.0,0,1
COW001,366.26,692.82,1,0
COW005,227.03,206.73,3,2
COW008,448.2,53.49,1,0
COW001,279.51,96.46,3,2
COW001,64.42,932.89,2,2
COW006,176.14,968.92,3,2
COW002,591.54,671.9,3,0
COW010,49.43,509.54,2,2
COW002,507.93,795.16,2,0
COW010,356.05,572.08,2,0
COW002,927.22,507.25,3,0
COW003,903.42,950.8,2,0
COW003,126.47,929.75,2,2
COW006,371.25,346.78,1,0
COW010,457.6,807.06,2,0
COW004,600.72,362.52,2,0
COW009,893.35,244.16,0,0
COW007,363.56,911.29,3,0
COW005,931.44,626.44,1,0
COW007,104.89,4.59,3,2
COW003,704.41,370.21,3,0
COW009,250.16,714.29,0,1
COW008,992.38,3.69,3,1
COW010,396.77,345.11,2,0
COW006,22.79,761.05,2,2
COW008,537.52,518.57,0,0
COW001,206.85,51.28,2,2
COW002,6.33,769.85,1,1
COW010,991.81,928.26,0,0
COW004,624.77,491.34,2,0
COW010,907.62,939.92,1,0
COW010,830.37,708.95,0,0
COW005,527.59,197.28,2,0
COW009,258.86,182.78,3,2
COW010,136.45,61.4,0,1
COW005,559.39,449.2,3,0
COW006,911.56,56.92,1,0
COW009,975.21,786.41,2,0
COW009,502.7,771.54,3,0
COW005,653.79,229.62,1,0
COW001,468.86,910.29,1,0
COW003,198.98,644.7,0,1
COW002,42.58,611.28,0,1
COW006,489.86,60.82,1,0
COW005,606.81,493.63,0,0
COW006,298.58,405.56,3,2
COW007,720.71,262.37,2,0
COW009,224.62,30.6,0,1
COW006,653.52,932.49,0,0
COW001,184.27,239.39,0,1
COW002,208.21,349.32,0,1
COW002,460.07,71.94,1,0
COW004,378.39,728.76,1,0
COW005,237.14,162.46,0,1
COW006,487.64,379.38,0,0
COW010,757.96,445.63,3,0
COW003,545.42,323.41,0,0
COW003,612.54,99.13,0,0
COW008,256.08,244.78,0,1
COW008,454.99,140.16,2,0
COW001,210.47,948.89,0,1
COW009,299.34,89.48,1,1
COW003,48.49,451.5,2,2
COW003,908.63,689.84,1,0
COW001,910.73,149.46,1,0
COW006,624.07,214.95,3,0
COW004,9.98,461.87,3,2
COW002,934.03,623.99,2,0
COW004,431.26,555.49,3,0
COW003,33.99,617.45,1,1
COW006,674.25,947.32,3,0
COW010,940.35,998.39,2,0
COW008,602.3,685.29,3,0
COW007,811.84,424.91,1,0
COW001,900.62,151.8,2,0
COW004,935.6,319.34,0,0
COW004,432.99,739.6,3,0
COW006,749.69,769.9,2,0
COW005,349.21,148.42,3,1
COW003,581.27,932.22,2,0
COW001,204.84,743.75,0,1
COW004,409.9,109.94,1,0
COW010,849.95,468.75,2,0
COW003,384.33,56.67,2,0
COW004,218.33,78.8,1,1
COW005,276.33,562.93,3,2
COW002,967.71,223.76,1,0
COW001,358.35,839.06,2,0
COW007,6.87,575.44,3,2
COW005,5.72,762.48,1,1
COW008,689.76,638.51,0,0
COW003,774.11,237.9,3,0
COW009,464.95,374.69,1,0
COW008,810.94,890.47,2,0
COW005,84.75,536.17,2,2
COW005,815.44,555.0,1,0
COW002,846.05,732.98,0,0
COW007,947.44,300.53,1,0
COW009,239.89,939.04,1,1
COW006,938.6,813.35,0,0
COW001,544.86,659.6,3,0
COW004,256.36,116.17,3,2
COW010,296.67,994.45,0,1
COW004,419.17,70.55,2,0
COW002,727.4,934.8,2,0
COW003,6.81,227.08,2,2
COW005,37.7,295.68,2,2
COW001,435.08,354.42,2,0
COW001,930.34,38.86,3,1
COW007,837.26,25.3,2,0
COW007,735.82,963.66,1,0
COW010,129.31,61.95,0,1
COW007,685.7,374.85,0,0
COW001,13.04,871.16,2,2
COW007,672.82,201.73,3,0
COW005,897.26,167.08,3,1
COW008,877.84,493.36,2,0
COW005,936.59,219.39,0,0
COW006,956.2,56.62,1,0
COW002,907.55,887.87,3,0
COW004,581.92,95.47,3,1
COW007,572.88,626.14,3,0
COW006,547.56,545.89,2,0
COW009,673.7,244.55,2,0
COW008,370.2,251.22,3,0
COW004,970.27,417.61,1,0
COW002,420.79,780.7,0,0
COW004,166.21,743.79,0,1
COW008,776.31,142.92,2,0
COW008,436.73,518.68,3,0
COW005,606.5,149.36,1,0
COW004,100.3,169.2,2,2
COW002,609.03,736.25,3,0
COW006,432.8,356.5,3,0
COW002,772.51,638.7,2,0
COW008,970.5,231.97,0,0
COW010,898.97,626.89,0,0
COW010,450.57,130.39,0,0
COW002,973.94,772.97,1,0
COW007,825.68,809.8,1,0
COW006,683.63,993.73,3,0
COW006,433.74,492.4,1,0
COW006,294.7,955.89,0,1
COW010,297.98,110.35,3,2
COW009,989.07,275.19,0,0
COW005,137.55,57.5,3,2
COW008,737.0,855.95,2,0
COW010,218.84,525.53,2,2
COW001,844.81,978.37,1,0
COW001,889.84,123.65,1,0
COW008,818.38,717.79,3,0
COW006,181.62,335.83,2,2
COW003,537.67,697.22,2,0
COW004,300.29,635.9,0,0
COW001,524.76,526.83,0,0
COW003,25.22,620.22,2,2
COW007,456.33,239.69,1,0
COW003,632.89,343.72,3,0
COW002,146.7,186.49,3,2
COW008,942.9,630.24,0,0
COW006,135.49,769.0,2,2
COW009,477.05,296.44,0,0
COW001,180.41,543.12,2,2
COW003,153.64,277.46,2,2
COW003,528.66,209.59,1,0
COW002,265.84,641.29,1,1
COW009,171.4,722.04,1,1
COW010,368.55,349.55,2,0
COW002,252.66,549.71,0,1
COW004,62.32,29.25,2,2
COW001,523.26,224.43,0,0
COW004,212.4,478.42,2,2
COW008,652.36,63.18,0,0
